"Risk Level","Ecosystem and Environmental Conditions","Assessment Data Inputs","Assessment Model Fits and Structural Uncertainty" 
"Level 1: Favorable","Indicators not used in the stock assessment show medium to high level of agreement and moderate to strong evidence supporting high species productivity.","...","..."
"Level 2: Neutral","Majority of indicators show no notable trends and/or no apparent environmental and ecosystem concerns.","...","..."
"Level 3: Unfavorable","Majority of indicators show medium to high level of agreement and moderate to strong evidence supporting low species productivity","...","..."
