"Assessment-related Considerations","Population Dynamics Considerations","Ecosystem Considerations","Fishery-informed Stock Considerations"
"Level: 1 Minimal concern","Level: 2 Substantial concern","Level: 2 Substantial concern","Level: 1 Minimal concern"
"- Retrospective pattern in MMB (high Mohn’s rho). This has been present for the last few years 
- Stable GMACS reference model since 2018 
- Historic natural mortality event (early 80s)","- Unknown reasons behind recruitment failure (early life stages survival most likely) 
- Potential shifting spatial distributions 
- Weak to no stockrecruit relationship 
- Low levels of abundance compared to historic levels (shifting baseline, non-stationarity)","- Corrosive bottom waters and increased wind stress in Bristol Bay remain a concern for growth and survival of larval and juvenile BBRKC 
- BB bottom waters were warm in 2025 but there is uncertainty what impacts this has on the stock","- Recent year fishery CPUE was higher than last 10 year average 
- Total potlifts and number of active vessels at or near historic lows 
- Skipper survey reported high CPUE and majority saw an increase in legal males"

